label,x,y,,,,,
J_9,-4.143707849,-0.927132487,,,,,
K_9,-4.104388075,-0.990044124,,,,,
L_9,-4.025748528,-1.068683672,,,,,
M_9,-3.939245026,-1.131595309,,,,,
N_9,-3.899925252,-1.009704011,,,,,
O_9,-3.923517117,-0.931064464,,,,,
P_9,-3.958904913,-0.84849294,,,,,
Q_9,-3.9785648,-0.738397574,,,,,
R_9,-4.006088641,-0.667621981,,,,,
S_9,-4.053272369,-0.596846389,,,,,
T_9,-4.053272369,-0.502478932,,,,,
U_9,-4.025748528,-0.376655657,,,,,
V_9,-4.041476437,-0.294084132,,,,,
W_9,-4.116184007,-0.195784698,,,,,
Z_9,-4.183027622,-0.152532947,,,,,
A_{10},-4.24593926,-0.077825377,,,,,
B_{10},-4.332442762,-0.026709672,,,,,
C_{10},-4.316714852,0.079453717,,,,,
D_{10},-4.261667169,0.051496455,,,,,
E_{10},-4.2,0,,,,,
F_{10},-4.15020916,-0.055007866,,,,,
G_{10},-4.088288043,-0.092160536,,,,,
H_{10},-4.033797461,-0.134266895,,,,,
I_{10},-4.009029014,-0.163989031,,,,,
J_{10},-3.963744236,-0.189461719,,,,,
K_{10},-3.955253339,-0.274370679,,,,,
L_{10},-3.946762443,-0.316825159,,,,,
M_{10},-3.93261095,-0.376261432,,,,,
N_{10},-3.912798859,-0.432867405,,,,,
O_{10},-3.859837037,-0.481755241,,,,,
P_{10},-3.82317116,-0.559160981,,,,,
Q_{10},-3.753913393,-0.669158612,,,,,
R_{10},-3.647989748,-0.730268407,,,,,
S_{10},-3.586879953,-0.77100827,,,,,
T_{10},-3.483134992,-0.832684826,,,,,
U_{10},-3.329179754,-0.881950502,,,,,
V_{10},-3.144433467,-0.925057969,,,,,
W_{10},-3,-1,,,,,
Z_{10},-2.854997618,-0.980481855,,,,,
A_{11},-2.737991637,-0.980481855,,,,,
B_{11},-2.571719979,-0.955849017,,,,,
C_{11},-2.374657273,-0.90658334,,,,,
D_{11},-2.269967711,-0.89465359,,,,,
E_{11},-2.076639407,-0.80977775,,,,,
F_{11},-1.883311104,-0.743763207,,,,,
G_{11},-1.656999901,-0.617401515,,,,,
H_{11},-1.522738485,-0.468222165,,,,,
I_{11},-1.413340294,-0.328988104,,,,,
J_{11},-1.353668554,-0.179808753,,,,,
K_{11},-1.279078879,-0.045547337,,,,,
L_{11},-1.194543913,0.133467884,,,,,
M_{11},-1.100063658,0.143413174,,,,,
N_{11},-0.975747532,0.138440529,,,,,
O_{11},-0.896185212,0.053905563,,,,,
P_{11},-0.876294631,-0.040574692,,,,,
Q_{11},-0.8,-0.2,,,,,
R_{11},-0.722142636,-0.264343718,,,,,
S_{11},-0.61771709,-0.363796619,,,,,
T_{11},-0.488428319,-0.433413649,,,,,
U_{11},-0.415122732,-0.483079822,,,,,
V_{11},-0.328398311,-0.537282585,,,,,
W_{11},-0.169403541,-0.58787183,,,,,
Z_{11},0,-0.6,,,,,
A_{12},0.123291377,-0.598712382,,,,,
B_{12},0.2,-0.6,,,,,
C_{12},0.361783532,-0.584258312,,,,,
D_{12},0.488256645,-0.555350172,,,,,
E_{12},0.658091968,-0.511987962,,,,,
F_{12},0.748429905,-0.504760927,,,,,
G_{12},0.864062466,-0.468625752,,,,,
H_{12},1,-0.4,,,,,
I_{12},1.065491832,-0.345787698,,,,,
J_{12},1.147893928,-0.254446375,,,,,
K_{12},1.236721946,-0.147240146,,,,,
L_{12},1.297982648,-0.061475163,,,,,
M_{12},1.322486929,0.033478925,,,,,
N_{12},1.346991209,0.134559083,,,,,
O_{12},1.380684596,0.290773874,,,,,
P_{12},1.4,0.4,,,,,
Q_{12},1.35924335,0.502123296,,,,,
R_{12},1.291262513,0.607604679,,,,,
S_{12},1.210912844,0.687954348,,,,,
T_{12},1.147780961,0.730998813,,,,,
U_{12},1.061692031,0.791261065,,,,,
V_{12},0.989804708,0.825056175,,,,,
W_{12},0.918545704,0.859260497,,,,,
Z_{12},0.821633459,0.893464819,,,,,
A_{13},0.696217613,0.893464819,,,,,
B_{13},0.607856448,0.882063378,,,,,
C_{13},0.493842042,0.884913738,,,,,
D_{13},0.408331238,0.879213018,,,,,
E_{13},0.282915391,0.879213018,,,,,
F_{13},0.237309629,0.842158336,,,,,
G_{13},0.123295223,0.825056175,,,,,
H_{13},0.029233338,0.813654734,,,,,
I_{13},-0.067678907,0.779450413,,,,,
J_{13},-0.13893791,0.762348252,,,,,
K_{13},-0.258653036,0.73099429,,,,,
L_{13},-0.32136096,0.705341049,,,,,
M_{13},-0.429674645,0.679687808,,,,,
N_{13},-0.492382569,0.645483486,,,,,
O_{13},-0.552240132,0.619830244,,,,,
P_{13},-0.604610199,0.568713402,,,,,
Q_{13},-0.698976394,0.506701331,,,,,
R_{13},-0.739419048,0.450081615,,,,,
S_{13},-0.760988464,0.396158075,,,,,
T_{13},-0.793342588,0.326057474,,,,,
U_{13},-0.839177597,0.307184235,,,,,
V_{13},-0.882316428,0.309880412,,,,,
W_{13},-0.95241703,0.342234536,,,,,
Z_{13},-1.019821454,0.355715421,,,,,
A_{14},-1.092618233,0.355715421,,,,,
B_{14},-1.170807365,0.355715421,,,,,
C_{14},-1.246300321,0.361107775,,,,,
D_{14},-1.278654444,0.401550429,,,,,
E_{14},-1.332577984,0.439296907,,,,,
F_{14},-1.397907657,0.50462658,,,,,
G_{14},-1.5,0.5,,,,,
H_{14},-1.587619327,0.614124068,,,,,
I_{14},-1.715801131,0.631214975,,,,,
J_{14},-1.878164749,0.648305882,,,,,
K_{14},-2.023437459,0.69103315,,,,,
L_{14},-2.160164716,0.69103315,,,,,
M_{14},-2.296891973,0.699578604,,,,,
N_{14},-2.493437405,0.708124057,,,,,
O_{14},-2.621619209,0.656851336,,,,,
P_{14},-2.903619176,0.588487707,,,,,
Q_{14},-3.083073701,0.537214986,,,,,
R_{14},-3.253982773,0.485942265,,,,,
S_{14},-3.424891844,0.42612409,,,,,
T_{14},-3.595800915,0.357760461,,,,,
U_{14},-3.741073626,0.315033193,,,,,
V_{14},-3.869255429,0.272305925,,,,,
W_{14},-3.909876193,0.190633406,,,,,
Z_{14},-3.986091183,0.152525911,,,,,
A_{15},-4.048015862,0.085837795,,,,,
B_{15},-4.109250228,0.158662982,,,,,
C_{15},-4.167551935,0.196142651,,,,,
D_{15},-4.542348624,0.196142651,,,,,
E_{15},-4.679288253,0.188534894,,,,,
F_{15},-4.808620124,0.218965923,,,,,
G_{15},-4.897574637,0.239891583,,,,,
H_{15},-4.953332465,0.327511027,,,,,
I_{15},-5.013072996,0.367338047,,,,,
J_{15},-5.084761632,0.287684007,,,,,
K_{15},-5.152467566,0.219978072,,,,,
L_{15},-5.192294587,0.15625484,,,,,
M_{15},-5.27479633,0.102110451,,,,,
N_{15},-5.35692825,0.074733144,,,,,
O_{15},-5.5,0,,,,,
P_{15},-5.5,0,,,,,
Q_{15},-5.630701316,-0.056677928,,,,,
R_{15},-5.762112388,-0.084055235,,,,,
S_{15},-5.948278073,-0.149760771,,,,,
T_{15},-6.0577873,-0.226417229,,,,,
U_{15},-6.134443759,-0.303073688,,,,,
V_{15},-6.22205114,-0.423533837,,,,,
W_{15},-6.260379369,-0.505665757,,,,,
Z_{15},-6.260379369,-0.609699523,,,,,
A_{16},-6.194673833,-0.719208749,,,,,
B_{16},-6.063262761,-0.719208749,,,,,
C_{16},-5.909949844,-0.719208749,,,,,
D_{16},-5.751161465,-0.713733288,,,,,
E_{16},-5.570471242,-0.653503213,,,,,
F_{16},-5.428109247,-0.768487901,,,,,
G_{16},-5.351452788,-0.817767053,,,,,
H_{16},-5.225517178,-0.905374435,,,,,
I_{16},-5.137909796,-0.960129048,,,,,
J_{16},-5,-1,,,,,
K_{16},-4.924366804,-1.124392888,,,,,
L_{16},-4.760102964,-1.179147501,,,,,
M_{16},-4.656069199,-1.261279421,,,,,
N_{16},-4.562986356,-1.332460419,,,,,
O_{16},-4.426099823,-1.376264109,,,,,
P_{16},-4.338492442,-1.403641416,,,,,
Q_{16},-4.223507754,-1.414592339,,,,,
R_{16},-4.108523066,-1.414592339,,,,,
S_{16},-4.009964762,-1.414592339,,,,,
T_{16},-3.889504612,-1.409116877,,,,,
U_{16},-3.823799076,-1.507675181,,,,,
V_{16},-3.725240772,-1.639086253,,,,,
W_{16},-3.686912543,-1.721218173,,,,,
Z_{16},-3.63215793,-1.786923709,,,,,
A_{17},-3.544550548,-1.890957474,,,,,
B_{17},-3.5,-2,,,,,
C_{17},-3.462418628,-2.082598621,,,,,
D_{17},-3.544550548,-2.07712316,,,,,
E_{17},-3.610256084,-1.989515778,,,,,
F_{17},-3.659535236,-1.907383858,,,,,
G_{17},-3.752618079,-1.880006552,,,,,
H_{17},-3.862127306,-1.885482013,,,,,
I_{17},-3.96068561,-1.901908397,,,,,
J_{17},-4,-2,,,,,
K_{17},-4.097572143,-2.049745853,,,,,
L_{17},-4.152326756,-2.12092685,,,,,
M_{17},-4.190654986,-2.208534232,,,,,
N_{17},-4.245409599,-2.36732261,,,,,
O_{17},-4.261835983,-2.515160066,,,,,
P_{17},-4.327541519,-2.673948445,,,,,
Q_{17},-4.322066058,-2.77798221,,,,,
R_{17},-4.119473988,-2.756080365,,,,,
S_{17},-3.938783764,-2.712276674,,,,,
T_{17},-3.749625782,-2.732602389,,,,,
U_{17},-3.65759477,-2.803395475,,,,,
V_{17},-3.544325833,-2.881267869,,,,,
W_{17},-3.5,-3,,,,,
Z_{17},-3.494770673,-3.178598829,,,,,
A_{18},-3.494770673,-3.320185001,,,,,
B_{18},-3.5,-3.5,,,,,
C_{18},-3.523087907,-3.723705589,,,,,
D_{18},-3.498893579,-3.951186092,,,,,
E_{18},-3.509095787,-4.124623624,,,,,
F_{18},-3.529500202,-4.338869988,,,,,
G_{18},-3.549904618,-4.512307521,,,,,
H_{18},-3.600915657,-4.716351677,,,,,
I_{18},-3.621320072,-4.930598041,,,,,
J_{18},-3.794757605,-4.971406872,,,,,
K_{18},-3.86617306,-4.787767132,,,,,
L_{18},-3.886577475,-4.410285443,,,,,
M_{18},-3.886577475,-4.165432455,,,,,
N_{18},-3.86617306,-3.920579468,,,,,
O_{18},-4,-4,,,,,
P_{18},-4.0498128,-4.247050118,,,,,
Q_{18},-4.080419424,-4.400083235,,,,,
R_{18},-4.162037086,-4.644936222,,,,,
S_{18},-4.202845917,-4.848980379,,,,,
T_{18},-4.355879034,-5.002013496,,,,,
U_{18},-4.570125398,-5.042822327,,,,,
V_{18},-5,-5,,,,,
W_{18},-5.386302023,-5.002013496,,,,,
Z_{18},-5.651559426,-5.012215703,,,,,
A_{19},-5.835199166,-4.971406872,,,,,
B_{19},-5.651559426,-4.675542846,,,,,
C_{19},-5.569941763,-4.349072196,,,,,
D_{19},-5.416908646,-3.991994923,,,,,
E_{19},-5.335290984,-3.706333104,,,,,
F_{19},-4.988415918,-3.379862454,,,,,
G_{19},-4.7027541,-3.07379622,,,,,
H_{19},-4.5,-3,,,,,
I_{19},-4.273669444,-2.91968974,,,,,
J_{19},-4.051367597,-2.864114279,,,,,
K_{19},-3.862411028,-2.764078448,,,,,
L_{19},-3.829065751,-2.547334148,,,,,
M_{19},-3.834623297,-2.397280401,,,,,
N_{19},-3.917986489,-2.430625678,,,,,
O_{19},-4,-2.5,,,,,
P_{19},-4.112500605,-2.580679425,,,,,
Q_{19},-4.056925143,-2.34170494,,,,,
R_{19},-3.956889312,-2.141633278,,,,,
S_{19},-3.773490289,-1.991579531,,,,,
T_{19},-3.645666727,-2.124960639,,,,,
U_{19},-3.484497889,-2.252784201,,,,,
V_{19},-3.373346965,-2.330589847,,,,,
W_{19},-3.273311135,-2.397280401,,,,,
Z_{19},-3.146760508,-2.553035019,,,,,
A_{20},-2.952067235,-2.660116319,,,,,
B_{20},-2.767108627,-2.728258964,,,,,
C_{20},-2.5334767,-2.786666946,,,,,
D_{20},-2.309579437,-2.815870937,,,,,
E_{20},-2.105151501,-2.845074928,,,,,
F_{20},-1.852050247,-2.864544255,,,,,
G_{20},-1.696295629,-2.9326869,,,,,
H_{20},-1.413969463,-2.989156317,,,,,
I_{20},-1.285563953,-3.041685844,,,,,
J_{20},-1.153607016,-3.145366295,,,,,
K_{20},-0.965097104,-3.183068278,,,,,
L_{20},-0.776587193,-3.22077026,,,,,
M_{20},-0.540949804,-3.277323233,,,,,
N_{20},-0.315792955,-3.333612445,,,,,
O_{20},-0.124409634,-3.35612813,,,,,
P_{20},0.179552112,-3.389901658,,,,,
Q_{20},0.460998173,-3.389901658,,,,,
R_{20},0.697412864,-3.378643815,,,,,
S_{20},1.00137461,-3.344870288,,,,,
T_{20},1.305336356,-3.311096761,,,,,
U_{20},1.485461835,-3.277323233,,,,,
V_{20},1.631526311,-3.178194338,,,,,
W_{20},1.793563966,-3.112503397,,,,,
Z_{20},1.854875511,-2.994259703,,,,,
A_{21},1.8,-2.8,,,,,
B_{21},1.676485068,-2.575067044,,,,,
C_{21},1.615216568,-2.414237231,,,,,
D_{21},1.607558006,-2.222773168,,,,,
E_{21},1.5,-2,,,,,
F_{21},1.546289505,-1.747942291,,,,,
G_{21},1.5,-1.5,,,,,
H_{21},1.492679568,-1.196525789,,,,,
I_{21},1.5,-1,,,,,
J_{21},1.691802193,-0.813597663,,,,,
K_{21},1.967510444,-0.767646288,,,,,
L_{21},2,-1,,,,,
M_{21},2.128340257,-1.196525789,,,,,
N_{21},2.25853582,-1.50286829,,,,,
O_{21},2.342780008,-1.778576541,,,,,
P_{21},2.419365633,-1.993016292,,,,,
Q_{21},2.495951259,-2.207456042,,,,,
R_{21},2.564878321,-2.360627293,,,,,
S_{21},2.633805384,-2.590384169,,,,,
T_{21},2.702732447,-2.858433857,,,,,
U_{21},2.83292801,-3.126483546,,,,,
V_{21},2.871220822,-3.371557546,,,,,
W_{21},2.89419651,-3.540045922,,,,,
Z_{21},2.901855073,-3.677900047,,,,,
A_{22},2.947806448,-3.869364111,,,,,
B_{22},3,-4,,,,,
C_{22},3.039709198,-4.152730924,,,,,
D_{22},3.123953386,-4.405463487,,,,,
E_{22},3.185221886,-4.512683363,,,,,
F_{22},3.261807511,-4.635220363,,,,,
G_{22},3.315417449,-4.780733051,,,,,
H_{22},3.369027387,-4.910928614,,,,,
I_{22},3.5,-5,,,,,
J_{22},3.667711325,-4.995172802,,,,,
K_{22},3.820882576,-4.987514239,,,,,
L_{22},3.721321263,-4.780733051,,,,,
M_{22},3.665726857,-4.679652313,,,,,
N_{22},3.5,-4.5,,,,,
O_{22},3.31699831,-4.245005138,,,,,
P_{22},3.261403904,-4.118654216,,,,,
Q_{22},3.190647387,-3.972087145,,,,,
R_{22},3.180539313,-3.80024989,,,,,
S_{22},3.068533481,-3.711398925,,,,,
T_{22},3.033487775,-3.593175406,,,,,
U_{22},3.012453419,-3.438923459,,,,,
V_{22},2.980901884,-3.274154334,,,,,
W_{22},2.942122022,-3.193362953,,,,,
Z_{22},2.887183883,-3.01239026,,,,,
A_{23},2.85486733,-2.802332669,,,,,
B_{23},2.797804886,-2.654358471,,,,,
C_{23},2.764936213,-2.53046886,,,,,
D_{23},2.697073837,-2.415434228,,,,,
E_{23},2.673763046,-2.296937705,,,,,
F_{23},2.668203759,-2.123846016,,,,,
G_{23},2.6,-2,,,,,
H_{23},2.550759741,-1.849809976,,,,,
I_{23},2.496931233,-1.707898455,,,,,
J_{23},2.47246373,-1.600241439,,,,,
K_{23},2.4,-1.4,,,,,
L_{23},2.355019712,-1.26748339,,,,,
M_{23},2.306084705,-1.135358871,,,,,
N_{23},2.242469196,-1.013021353,,,,,
O_{23},2.20332119,-0.851535829,,,,,
P_{23},2.159279684,-0.714517809,,,,,
Q_{23},2.090018702,-0.640761777,,,,,
R_{23},1.899816325,-0.614424236,,,,,
S_{23},1.704695243,-0.645895378,,,,,
T_{23},1.541045303,-0.702543434,,,,,
U_{23},1.371101135,-0.80325109,,,,,
V_{23},1.333335764,-0.948018344,,,,,
W_{23},1.327041536,-1.111668284,,,,,
Z_{23},1.371101135,-1.275318224,,,,,
A_{24},1.396278049,-1.464145077,,,,,
B_{24},1.38998382,-1.602618103,,,,,
C_{24},1.38998382,-1.734796901,,,,,
D_{24},1.377395364,-1.86068147,,,,,
E_{24},1.383689592,-1.98027181,,,,,
F_{24},1.327041536,-2.093567922,,,,,
G_{24},1.150803139,-2.112450608,,,,,
H_{24},1.037507027,-2.087273694,,,,,
I_{24},0.895994584,-1.980322082,,,,,
J_{24},0.957512695,-1.795767747,,,,,
K_{24},1.087384264,-1.577036684,,,,,
L_{24},1.114725647,-1.39248235,,,,,
M_{24},1.14206703,-1.139574559,,,,,
N_{24},1.14206703,-0.920843496,,,,,
O_{24},1.114725647,-0.72261847,,,,,
P_{24},1,-0.5,,,,,
Q_{24},0.895994584,-0.57907621,,,,,
R_{24},0.725110941,-0.620088284,,,,,
S_{24},0.554227298,-0.661100358,,,,,
T_{24},0.424355729,-0.702112433,,,,,
U_{24},0.273978124,-0.702112433,,,,,
V_{24},0.089423789,-0.708947778,,,,,
W_{24},-0.095130545,-0.695277087,,,,,
Z_{24},-0.279684879,-0.667935704,,,,,
A_{25},-0.416391794,-0.613252938,,,,,
B_{25},-0.431557976,-0.725823486,,,,,
C_{25},-0.475989101,-0.770254612,,,,,
D_{25},-0.6,-0.8,,,,,
E_{25},-0.687036949,-0.817462683,,,,,
F_{25},-0.717583348,-0.75914683,,,,,
G_{25},-0.628721097,-0.68139236,,,,,
H_{25},-0.634274987,-0.636961234,,,,,
I_{25},-0.678706113,-0.656399852,,,,,
J_{25},-0.857987541,-0.854408553,,,,,
K_{25},-0.961921005,-0.887478291,,,,,
L_{25},-1.046957475,-0.911099533,,,,,
M_{25},-1.198133423,-0.863857049,,,,,
N_{25},-1.2642729,-0.816614566,,,,,
O_{25},-1.316239632,-0.759923586,,,,,
P_{25},-1.443794337,-0.821338814,,,,,
Q_{25},-1.339860873,-0.844960056,,,,,
R_{25},-1.37765486,-0.911099533,,,,,
S_{25},-1.514658062,-0.929996526,,,,,
T_{25},-1.632764271,-0.873305546,,,,,
U_{25},-1.708352245,-0.797717573,,,,,
V_{25},-1.708352245,-0.68905986,,,,,
W_{25},-1.757325074,-0.850983568,,,,,
Z_{25},-1.674421988,-0.938911084,,,,,
A_{26},-1.51112803,-0.999204237,,,,,
B_{26},-1.320199711,-0.979106519,,,,,
